epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.8699,0.82689,5.97318,0.00184,0,0,0,0,0.5849,4.42222,0.00191,0.00015719,0.00015719,0.00015719
2,36.2505,0.82103,4.76625,0.0019,0.00189,0.13025,0.0161,0.01383,0.57581,4.33145,0.0019,0.000323247,0.000323247,0.000323247
3,41.6728,0.81142,4.46605,0.00199,0.00241,0.29908,0.07839,0.06959,0.62794,4.2044,0.0019,0.000483645,0.000483645,0.000483645
4,45.8979,0.79631,3.88379,0.00173,0.00482,0.56086,0.39789,0.29969,0.63396,4.12527,0.00191,0.000638384,0.000638384,0.000638384
5,50.5924,0.87371,3.6554,0.002,0.00717,0.88235,0.59617,0.49826,0.66243,3.78835,0.00213,0.000787465,0.000787465,0.000787465
6,55.7875,0.81749,3.11807,0.00186,0.00813,0.94118,0.79291,0.67427,0.64333,3.33857,0.00196,0.000930886,0.000930886,0.000930886
7,60.0314,0.81177,3.01154,0.00183,1,0.46902,0.86845,0.75049,0.6312,3.04785,0.00212,0.00106865,0.00106865,0.00106865
8,64.6619,0.80795,3.05898,0.00197,0.96394,0.44471,0.90778,0.77692,0.64941,2.76624,0.00212,0.00120075,0.00120075,0.00120075
9,69.5083,0.77103,2.6266,0.0017,0.93447,0.60322,0.88643,0.68787,0.90106,2.48723,0.00322,0.00124037,0.00124037,0.00124037
10,73.5984,0.87997,2.71546,0.00192,0.91128,0.59536,0.87596,0.74127,0.66445,2.22536,0.00237,0.00121679,0.00121679,0.00121679
11,78.3226,0.79299,2.60893,0.00186,0.89389,0.79095,0.93557,0.78527,0.70554,1.39904,0.00233,0.00119322,0.00119322,0.00119322
12,83.3037,0.79218,2.21065,0.00179,0.88361,0.89763,0.95599,0.8121,0.6476,1.01119,0.00216,0.00116964,0.00116964,0.00116964
13,87.4718,0.74278,2.15677,0.00169,0.8528,0.81708,0.93048,0.77,0.74939,0.88279,0.00262,0.00114606,0.00114606,0.00114606
14,92.1578,0.75117,2.14358,0.00181,0.83428,0.74716,0.90776,0.76279,0.67556,0.73874,0.00221,0.00112248,0.00112248,0.00112248
15,97.1879,0.80033,2.53478,0.00182,0.97572,0.70058,0.91232,0.76078,0.75581,0.68856,0.0025,0.0010989,0.0010989,0.0010989
16,101.397,0.7438,1.82622,0.00167,0.80127,0.86678,0.91628,0.7624,0.75579,0.60676,0.00259,0.00107532,0.00107532,0.00107532
17,106.185,0.75741,1.78978,0.00172,0.90231,0.77295,0.9399,0.80671,0.65313,0.63469,0.00232,0.00105174,0.00105174,0.00105174
18,111.027,0.68191,1.78606,0.00163,0.8952,0.76865,0.95098,0.81254,0.71933,0.56098,0.00267,0.00102817,0.00102817,0.00102817
19,115.084,0.70814,1.56596,0.00165,0.82639,0.89812,0.93846,0.81414,0.6139,0.51525,0.00205,0.00100459,0.00100459,0.00100459
20,119.954,0.651,1.57147,0.00155,0.89216,0.84723,0.94829,0.82306,0.56358,0.52886,0.00184,0.000981008,0.000981008,0.000981008
21,124.719,0.67472,1.51132,0.00165,0.95134,0.82112,0.9484,0.80464,0.68869,0.58199,0.00232,0.00095743,0.00095743,0.00095743
22,128.946,0.70211,1.67193,0.00179,0.91543,0.81245,0.94649,0.82806,0.64194,0.48822,0.0021,0.000933851,0.000933851,0.000933851
23,134.15,0.67963,1.33187,0.0015,0.96118,0.7603,0.92516,0.80178,0.5995,0.55121,0.00199,0.000910273,0.000910273,0.000910273
24,138.522,0.67176,1.36412,0.0016,0.96487,0.81166,0.94787,0.82542,0.62894,0.53036,0.00219,0.000886694,0.000886694,0.000886694
25,142.69,0.67952,1.24863,0.00153,0.90791,0.88978,0.9557,0.82292,0.67803,0.47162,0.00233,0.000863116,0.000863116,0.000863116
26,147.813,0.62386,1.15389,0.00137,0.82683,0.88856,0.94957,0.82292,0.63833,0.51583,0.00204,0.000839537,0.000839537,0.000839537
27,152.139,0.58794,1.21663,0.00138,0.87719,0.80389,0.94108,0.8235,0.59755,0.51436,0.00207,0.000815959,0.000815959,0.000815959
28,156.27,0.62812,1.13898,0.00147,0.86336,0.75623,0.91499,0.79316,0.60562,0.5546,0.00199,0.00079238,0.00079238,0.00079238
29,161.715,0.60862,1.15763,0.00159,0.86298,0.80685,0.92321,0.80421,0.65856,0.55391,0.00223,0.000768802,0.000768802,0.000768802
30,165.96,0.65036,1.07269,0.00155,0.88386,0.90648,0.94497,0.80926,0.70723,0.50157,0.00235,0.000745223,0.000745223,0.000745223
31,170.22,0.63542,1.07652,0.0014,0.91426,0.88641,0.95026,0.83856,0.61619,0.4622,0.00218,0.000721645,0.000721645,0.000721645
32,175.837,0.60872,0.98903,0.0015,0.98134,0.80249,0.95604,0.84577,0.5635,0.43991,0.00206,0.000698066,0.000698066,0.000698066
33,179.967,0.62216,0.93745,0.00136,0.94752,0.82646,0.95562,0.84639,0.55525,0.43305,0.00192,0.000674488,0.000674488,0.000674488
34,184.339,0.56711,0.91484,0.00138,0.87769,0.86988,0.9553,0.85051,0.54713,0.43469,0.00186,0.000650909,0.000650909,0.000650909
35,189.882,0.59996,0.91517,0.00144,0.92892,0.91433,0.96226,0.83266,0.62104,0.42039,0.00199,0.000627331,0.000627331,0.000627331
36,194.04,0.59623,0.86255,0.00141,0.93062,0.85713,0.96492,0.83942,0.61249,0.4276,0.00199,0.000603752,0.000603752,0.000603752
37,198.046,0.63949,0.90436,0.00136,0.88507,0.90914,0.96654,0.86694,0.5531,0.41122,0.00193,0.000580174,0.000580174,0.000580174
38,203.59,0.6159,0.91945,0.00134,0.88376,0.92647,0.96822,0.85541,0.58213,0.41957,0.00201,0.000556595,0.000556595,0.000556595
39,207.533,0.58719,0.81554,0.00121,0.86603,0.95009,0.96091,0.84707,0.57625,0.42722,0.00185,0.000533017,0.000533017,0.000533017
40,211.652,0.54503,0.78566,0.00121,0.97121,0.84928,0.96549,0.83909,0.64509,0.412,0.00212,0.000509438,0.000509438,0.000509438
41,217.132,0.59443,0.80007,0.00128,0.9553,0.84715,0.95987,0.83264,0.60993,0.39174,0.0021,0.00048586,0.00048586,0.00048586
42,221.206,0.55274,0.7467,0.00118,0.95468,0.85016,0.96276,0.82305,0.68257,0.43461,0.00235,0.000462281,0.000462281,0.000462281
43,225.238,0.54752,0.72619,0.00134,0.88546,0.91979,0.97013,0.85516,0.60145,0.41026,0.00201,0.000438703,0.000438703,0.000438703
44,230.734,0.53061,0.72751,0.00122,0.90948,0.94999,0.96845,0.83503,0.60102,0.39846,0.0019,0.000415124,0.000415124,0.000415124
45,234.789,0.6005,0.76658,0.00139,0.93817,0.93791,0.97136,0.86832,0.52444,0.35705,0.00172,0.000391546,0.000391546,0.000391546
46,238.777,0.55314,0.75133,0.00131,0.95562,0.90098,0.9704,0.86319,0.57592,0.37624,0.00202,0.000367967,0.000367967,0.000367967
47,244.262,0.58679,0.69288,0.00138,0.9138,0.91916,0.97162,0.86787,0.57544,0.38251,0.002,0.000344389,0.000344389,0.000344389
48,248.31,0.59096,0.71032,0.00124,0.93029,0.93785,0.97044,0.87463,0.52608,0.3792,0.00189,0.00032081,0.00032081,0.00032081
49,252.369,0.54756,0.70782,0.00139,0.95171,0.93709,0.97199,0.87028,0.48462,0.36474,0.00173,0.000297232,0.000297232,0.000297232
50,257.793,0.51624,0.64824,0.00117,0.93274,0.93451,0.96912,0.8613,0.53053,0.37331,0.00181,0.000273654,0.000273654,0.000273654
51,264.52,0.5089,0.8289,0.00143,0.9268,0.92534,0.96464,0.86234,0.53009,0.36838,0.00187,0.000250075,0.000250075,0.000250075
52,268.775,0.48193,0.81002,0.00125,0.9322,0.9194,0.96727,0.86558,0.55693,0.3892,0.00195,0.000226497,0.000226497,0.000226497
53,273.631,0.49299,0.79474,0.00128,0.93763,0.92289,0.96166,0.85952,0.52935,0.39611,0.00178,0.000202918,0.000202918,0.000202918
54,277.505,0.46936,0.77507,0.0013,0.9494,0.92736,0.96648,0.86776,0.52497,0.38934,0.00172,0.00017934,0.00017934,0.00017934
55,281.456,0.50154,0.78065,0.00134,0.90721,0.91087,0.96835,0.86321,0.52163,0.39389,0.00168,0.000155761,0.000155761,0.000155761
56,286.824,0.48502,0.81422,0.00127,0.91095,0.92586,0.97017,0.86761,0.52684,0.40321,0.00167,0.000132183,0.000132183,0.000132183
57,290.779,0.47823,0.77898,0.00129,0.94513,0.92869,0.97125,0.87084,0.52197,0.4014,0.0017,0.000108604,0.000108604,0.000108604
58,294.668,0.45543,0.789,0.00113,0.94723,0.92363,0.97041,0.86903,0.52925,0.39404,0.00171,8.50255e-05,8.50255e-05,8.50255e-05
59,299.824,0.46175,0.73035,0.00119,0.95044,0.91903,0.97546,0.87154,0.54882,0.37032,0.00181,6.1447e-05,6.1447e-05,6.1447e-05
60,303.742,0.48032,0.7816,0.00127,0.95438,0.91492,0.97653,0.86469,0.54631,0.37223,0.00178,3.78685e-05,3.78685e-05,3.78685e-05
